ID,Tweet,Sentiment
0,BanMediaHouse whose is responsible for spreading Fake and communal Stories in this pandemic Corona situation.,1
1,Im waiting for someone to say to me that all this corona thing is just an April fools joke,1
2,He is a liar. Proven day night. Time again. Lies when the truth will do. COVID19,1
3,"NEW: U.S. CoronaVirus death toll reaches 4,000 after nearly 900 new deaths were reported today (BNO News) Covid19 CoronaVirusOutbreak",0
4,"Coronavirus impact Govt extends I-T deadlines related to Sections 80C, 80D",0
5,"42,000 people might have died in China from Covid19 but China was underreporting according to sources.",0
6,This is how the govt of kenya is checking the temperatures of COVID19 and saying it is still low. Mtashangaa sana.,0
7,"you are a complete wanker, and I hope you die from coronavirus. You're a fucking dickhead.",1
8,"Just heard that my Oncle in France has the Covid19 and is now in a coma in critical condition. Guys please this aint no joke, be safe",1
9,That moment you realize your new medication has side effects identical to corona virus symptoms how will I know?,0
10,"Three teams are fighting Covid19 day night: 1: Doctors, Nurses, Policemen. 2: Khans PR team. 3: IT cell",0
11,"Six new coronavirus cases reported in Karnataka, taking state's tally at 181 CoronavirusOutbreak CautionYesPanicNo",0
12,"A lot of chatter about 16000 staff for the Nightingale Pop Up Hospital, but where are they coming from? Covid19",0
13,Anyone have a good roundup of what the countrys billionaires have done to respond to the coronavirus?,1
14,"CORONAVIRUS TRUMP Wed, 1 Apr 2020 00:00:00 CDT",0
15,what's the procedure for corona testing guys?? the whole village needs to get tested A.S.A.P..,0
16,"I wonder what's gonna come next, first Kobe and now Corona... What's next?",1
17,The problem of poverty has now covered the cover of religion. The issue has changed. There is relief from corona. All is well,1
18,Pushing the free therapy for health care workers when this COVID19 Arc is coming 2 an end.,1
19,Emergency warning signs for COVID19: -new confusion or inability to arouse thatcouldmeananything but -bluish lips or face thatsjustscary,0
20,Corona its like a strange unreal horror movie everybody out there stay strong stay home and take care much love for all of you,1
21,Western countries busy in fighting against Covid_19. Result: terrorisme stoped world wide.,0
22,Im not a conspiracy theorist... But why did China set off a bioweapom (coronavirus)? And how are they profiting off it?,0
23,Those white butterfly clearly gave us a clear signal that something bad is going to happen.... Corona Virus.,1
24,Never heard or seen a better thing for this Corona curfew enforcement,0
25,Do you know whos also at risk for the corona virus? People who live in apartment buildings,0
